input_row,job_id,cr_recording_url,status,transcript,diarized_transcript,sarvam_json_path,sarvam_error
1,nFbs5Z0bkVnl7XE6188UGA,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/23/recording17064968205186586265.mp3,ok,"नहीं। हेलो, मैं बात कर रही हूँ ग्राम शक्ति बुलेटिन से, क्या मेरी बात समझ में आ रही है? क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है संगम। रैक नंबर। मैं आपको पेन नंबर के बारे में जानकारी प्राप्त करके बताती हूँ। नहीं नहीं नहीं, यह यह मैसूर डिस्ट्रिक्ट है। मैसेज दे दे। मैं आपके जिले के बारे में जानकारी प्राप्त करके बताती हूँ। ये ले ले ले मैडम। मैं ग्राम सचिव पुलर्टन से बात कर रही हूँ, क्या मेरी बात कवर तुमसे हो रही है? हाँ। हेलो हेलो। क्या करना है मैडम? साउथ डिस्ट्रिक्ट को। हेलो। मैं आपको इस विषय में जानकारी प्राप्त करके बताती हूं। क्या चीज़ की मतलब? हेलो। मुझे खेद है पर मैं आपको जिले के बारे में जानकारी नहीं दे सकती, हम यहां आपके लोन के पेमेंट के बारे में बात कर रहे हैं। चलो। मैं ग्राम साख्ती पुलर्टन से बात कर रही हूँ, क्या मेरी बात तबस्सुम से हो रही है? मैडम रॉन्ग नंबर तो ही नहीं कह रहा था।","speaker_2: नहीं।
speaker_1: हेलो, मैं बात कर रही हूँ ग्राम शक्ति बुलेटिन से, क्या मेरी बात समझ में आ रही है?
speaker_2: क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है क्या है
speaker_2: संगम।
speaker_2: रैक नंबर।
speaker_1: मैं आपको पेन नंबर के बारे में जानकारी प्राप्त करके बताती हूँ।
speaker_2: नहीं नहीं नहीं, यह यह मैसूर डिस्ट्रिक्ट है।
speaker_2: मैसेज दे दे।
speaker_1: मैं आपके जिले के बारे में जानकारी प्राप्त करके बताती हूँ।
speaker_2: ये ले ले ले मैडम।
speaker_1: मैं ग्राम सचिव पुलर्टन से बात कर रही हूँ, क्या मेरी बात कवर तुमसे हो रही है?
speaker_2: हाँ।
speaker_2: हेलो हेलो।
speaker_2: क्या करना है मैडम?
speaker_2: साउथ डिस्ट्रिक्ट को।
speaker_2: हेलो।
speaker_1: मैं आपको इस विषय में जानकारी प्राप्त करके बताती हूं।
speaker_2: क्या चीज़ की मतलब?
speaker_2: हेलो।
speaker_1: मुझे खेद है पर मैं आपको जिले के बारे में जानकारी नहीं दे सकती, हम यहां आपके लोन के पेमेंट के बारे में बात कर रहे हैं।
speaker_2: चलो।
speaker_1: मैं ग्राम साख्ती पुलर्टन से बात कर रही हूँ, क्या मेरी बात तबस्सुम से हो रही है?
speaker_2: मैडम रॉन्ग नंबर तो ही नहीं कह रहा था।",outputs/smfg_rural_sheet4_sarvam/sarvam_results/20260520_2d276cd2-f570-4d76-8803-73e413a2f2b5/000000_recording17064968205186586265__cfb528247b.json,
2,UBO99hZHGGQR1D9lR_a9cg,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/20/recording11295242329244464157.mp3,ok,,,/dev/null,
3,xETLrrExPtug2zZD1Qf-Dw,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/21/recording13190767244591391920.mp3,ok,,,/dev/null,
4,1k4ncWWe-PLo3SlvBDRrvg,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/23/recording17074660416320387775.mp3,ok,,,/dev/null,
5,cVsu4ilABQmCeRriR5Fn-Q,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/20/recording4873533846570191476.mp3,ok,,,/dev/null,
6,t4Inc8rZl0jLiTKSqFhh1A,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/20/recording13936630826214435429.mp3,ok,,,/dev/null,
7,Q6Hrm5CUpraIb-k3iqxRoA,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/27/recording9651323611441130374.mp3,ok,,,/dev/null,
8,XGms-H7qwh88Lq71Ier3jQ,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/26/recording9249774589920181260.mp3,ok,,,/dev/null,
9,CNVTMTwOc-t1G5JC4C2R7Q,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/23/recording816373413494332300.mp3,ok,,,/dev/null,
10,UNaqOCjzyuefRXugB2XL5g,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/25/recording6587675024861225234.mp3,ok,,,/dev/null,
11,t40_z3rnv2YobS3qwmtztw,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/24/recording12193345129444147508.mp3,ok,,,/dev/null,
12,--CsMlwV1w_m0om101_Z1w,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/11/21/recording.mp3,ok,,,/dev/null,
13,hfsGtlHH85GjsjY4511isw,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/24/recording12498335204083792850.mp3,ok,,,/dev/null,
14,k2Cd0PQC6QAlnMBwKOym7A,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/23/recording7919449904502793458.mp3,ok,,,/dev/null,
15,yra9QP2v7YytkgeNGYrPpA,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/24/recording15635231991605759861.mp3,ok,,,/dev/null,
16,O1lO7u-7uU1wiRESqGhoUw,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/23/recording18321508026197929834.mp3,ok,,,/dev/null,
17,nXnGjyBd5fBSDzYR2aAlMw,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/27/recording17437692285617948888.mp3,ok,,,/dev/null,
18,--HarojsWojLTjUTow1RHA,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/11/6/recording.mp3,ok,,,/dev/null,
19,--CsMlwV1w_m0om101_Z1w,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/11/21/recording.mp3,ok,,,/dev/null,
20,XISr69-oo9zn2nIgaws61w,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/27/recording7092532600230779199.mp3,ok,,,/dev/null,
