utt_id,wav,language,bucket,duration_s,district,state,transcript
bench_001,/tmp/vaani_hi_60/vaani_000.wav,hi,short,2.250062,Lucknow,UttarPradesh,सामने की तरफ एक औरत बैठी हुई है।
bench_002,/tmp/vaani_hi_60/vaani_001.wav,hi,short,1.706000,Darbhanga,Bihar,<static_noise> गमले में पौधे लगे हुए हैं। </static_noise>
bench_003,/tmp/vaani_hi_60/vaani_002.wav,hi,short,4.407000,Begusarai,Bihar,डॉक्टर {Doctors} लोगों ने <pause> सामने पर <pause> कॉफ़ी {coffee} रखे हुए हैं खोलकर।</pause></pause>
bench_004,/tmp/vaani_hi_60/vaani_003.wav,hi,short,2.494000,Palamu,Jharkhand,वहां उसके नीचे भी मछली रखी हुई है।
bench_005,/tmp/vaani_hi_60/vaani_004.wav,hi,short,2.780000,Patna,Bihar,यह एक छोटा सा नदी है।
bench_006,/tmp/vaani_hi_60/vaani_005.wav,hi,short,2.520000,Kapurthala,Punjab,यहां पे अच्छी डेकोरेशन {decoration} की गई है।
bench_007,/tmp/vaani_hi_60/vaani_006.wav,hi,short,2.370000,Patna,Bihar,मकान की ईंटें दिख रही हैं।
bench_008,/tmp/vaani_hi_60/vaani_007.wav,hi,short,1.889000,Gaya,Bihar,<noise> [inaudible] छोटे जीव होते है। </noise>
bench_009,/tmp/vaani_hi_60/vaani_008.wav,hi,short,2.876000,Palamu,Jharkhand,<talking> एक आदमी कार {car} को सजा रहा है। </talking>
bench_010,/tmp/vaani_hi_60/vaani_009.wav,hi,short,3.514063,Darbhanga,Bihar,<noise> इस यहाँ पास पूरा स्वच्छ वातावरण मिलता है। </noise>
bench_011,/tmp/vaani_hi_60/vaani_010.wav,hi,short,3.710000,Lucknow,UttarPradesh,<noise> जेह एक <pause> गांव का <pause> व्यू {view} है। </pause></pause></noise>
bench_012,/tmp/vaani_hi_60/vaani_011.wav,hi,short,2.140000,Palamu,Jharkhand,इसमे तार ताना हुआ [horn] है।
bench_013,/tmp/vaani_hi_60/vaani_012.wav,hi,short,1.652000,Shamli,UttarPradesh,यहां पर गाड़ी धो रही है।
bench_014,/tmp/vaani_hi_60/vaani_013.wav,hi,medium,5.971875,Darbhanga,Bihar,<noise> पिंक {pink} पानी का पहाड़ पर <pause> यहाँ पे पानी पहाड़ पर से गिर रहा [inaudible] -- </pause></noise>
bench_015,/tmp/vaani_hi_60/vaani_014.wav,hi,short,3.259000,Shamli,UttarPradesh,अगरबत्तियां भी दिखाई दे रही है।
bench_016,/tmp/vaani_hi_60/vaani_015.wav,hi,short,2.680000,Patna,Bihar,जहाँ पे दो गोरे आगे की ओर।
