file,duration_sec,language,language_source,lid_language,lid_language_source,diarization_turns,diarization_error,processing_sec,text,json_path
new_test_recording.wav,30.16,hi,client,hi,auto_default,9,,56.587,लोो हेलो नमस्कार सरँर ज बैंक की तरफ से बात कर रहा हूँ ज बंक बोला था म बोला था दस तारीख को न तारीख को पेमेंट क्लियर कर दूंग अब इतने बार कल करते हो मै बोला बारह तारीख को चेष्टा तो जरूर करूंगी अभी मेरे पास पैसा नहीं है मैं तोल पेमेंट कर दूी करना चाहती ह दस तारीख को कॉल करता हूँ सर ओके,/workspace/outputs/transcripts_50x/transcripts/new_test_recording.json
new_test_recording_16k.wav,30.16,hi,client,hi,auto_default,9,,56.967,लो हेलो नमस्कार सरँर ज बैंक की तरफ ऐसी ल बात कर रहा हूँ ज बैंक बोला था मैं बोला था दस तारीख को न तारीख को पेमेंट क्लियर कर दूंगी अब इतने बार कल करते हो मै बोला बारह तारीख को चेष्टा तो जरूर करूँगी अभी मेरे पास पैसा नहीं है मैं तो नल पेमेंट कर दूगी करना चाहतीू दस तारीख को कॉल करता हूँ सर ओके,/workspace/outputs/transcripts_50x/transcripts/new_test_recording_16k.json
recording.mp3,21.456,hi,client,hi,auto_default,14,,51.265,मैं राधा बात कर रही हूँ जनशक्तिुलेटन ऐ क्या मेरी बात हो रही है,/workspace/outputs/transcripts_50x/transcripts/recording.json
recording10413404309946077674.mp3,16.344,hi,client,hi,auto_default,6,,43.128,हेलो मै राधा बात कर रही हूँ ग्राम शक्ति पलेटन ऐसी क्या मेरी बात शहनाजा बेगम अब्दुल रहहमान यजगिरी ऐसी हो रही है हलो क्या बोल रहे हो,/workspace/outputs/transcripts_50x/transcripts/recording10413404309946077674.json
recording10684752980581688224.mp3,5.688,hi,client,hi,auto_default,1,,40.978,हेलो मैं बात कर रही हूँ ग्राम शक्ति पुलेटन ऐसी क्या मेरी बातही,/workspace/outputs/transcripts_50x/transcripts/recording10684752980581688224.json
recording11480633938441062475.mp3,7.416,hi,client,hi,auto_default,5,,37.046,लो मैं राधा बात कर रही हूँ ग्राम शक्ति पलेटन ऐसी क्या मेरी बात सुनबी बनू और,/workspace/outputs/transcripts_50x/transcripts/recording11480633938441062475.json
recording17064968205186586265.mp3,75.528,hi,client,hi,auto_default,28,,59.178,हेलो मै बात कर रही हूँ ग्राम शक्ति पलेटन ऐसी क्या मेरी बात नबर है रंग नबर रंग नबर मैं आपको पीन नंबर के बारे में जानकारी प्राप्त करके बताती हूँै डस्ट्रिक में मई मैं आपके जिले के बारे में जानकारी प्राप्त करके बताती हूँ मैड मैं ग्राम पुलेटन ऐसी बात कर रही हूँ क्या मेरी बातन ऐसी हो रही है मैडम हो हलो मै आप आपको इस विषय में जानकारी प्राप्त करके बताती हूँ मु है मैं आपको जिले के बारे में जानकारी नहीं दे सकती हम यहाँ आपके लोन के पेमेंट के बारे में बात कर रहे हैंल मैं तुमसे बात कर रही हूँ क्या मेरी बात तबस्सुम सेसी हो रही है,/workspace/outputs/transcripts_50x/transcripts/recording17064968205186586265.json
recording17143443476201068641.mp3,49.248,hi,client,hi,auto_default,16,,58.404,हेलो मै बात कर रही हूँ ग्राम शक्ति पुलेटन ऐसी क्या मेरी बातंजावाा ऐसी हो रही हैल ले चप्पला लेना हैुौौनाहिएलो मुझे मा़ करें क्या आप थोड़ा स्पष्ट कर सते हैं मैं आपकी मदद करने के लिए यहाँ हूँ हलो हेलो नमस्ते मैं ग्राम शक्ति पलेटन ऐसी बात कर रही हूँ क्या मै मंजव्वा ऐसी बात कर रही हूँ मंज्वा मर वोऊपर मुझे बहुत खेद है की आपसे सुनकर ऐस अच्छा लग रहा है क्या मैं आपकी किसी और तरह ऐसी मदद कर सकता हूँ कंप्यूटर,/workspace/outputs/transcripts_50x/transcripts/recording17143443476201068641.json
recording5898079471024368327.mp3,14.472,hi,client,hi,auto_default,2,,40.055,म बात करती हूँ ग्राम शक्ति पलेटन ऐ क्या मेरी बात मुमताज से हो रही है,/workspace/outputs/transcripts_50x/transcripts/recording5898079471024368327.json
recording9112906942391403294.mp3,32.76,hi,client,hi,auto_default,11,,55.559,हलो मै राधा बात कर रही हूँ ग्राम शक्ति पुलेटन ऐसी क्या मेइना बेगम अल्लाानापुरी ऐसी हो रही है मना बेगनाप आमा असल में ये नंबर हमके लिए हुए लोन ऐसी एसोसिएटेड है क्या ु तुम अल्भक्तऐनापरी को कैसे जानते ह वोु हमारी डिस्प्यूट रेजल्यूशन टीम को फॉवर्ड कर रही हूँ मैडुूँ गुड बाई,/workspace/outputs/transcripts_50x/transcripts/recording9112906942391403294.json
